device,model,dvfs_mode,dvfs_mode_label,condition_tag,segment,capacity_ips,lambda_frac,target_rps,n_runs,achieved_rps_median,achieved_rps_min,achieved_rps_max,p95_latency_ms_median,p95_latency_ms_max,warm_idle_w_median,serving_w_median,delta_w_median,marginal_wall_energy_j_per_inf_median,marginal_wall_energy_j_per_inf_min,marginal_wall_energy_j_per_inf_max,batch_size
gpu-server,mobilenet-v2-100,5,1200MHz,dvfs5,server,590.6,0.5,295.3,10,293.52,291.9,299.32,22.83,24.09,99.85,122.04,22.155,0.074988,0.07198,0.079959,1
gpu-server,mobilenet-v2-100,5,1200MHz,dvfs5,server,590.6,0.75,442.95,10,443.025,437.43,445.48,23.205,24.44,100.45,133.37,33.085,0.074613,0.072351,0.076351,1
gpu-server,mobilenet-v2-100,5,1200MHz,dvfs5,server,590.6,1.0,590.6,10,590.935,584.52,594.52,316.955,1018.46,100.7,144.08,43.45,0.073385,0.070793,0.076468,1
gpu-server,mobilenet-v2-100,6,1410MHz,dvfs6,server,548.4,0.25,137.1,10,137.555,133.8,140.55,21.18,22.02,102.25,111.705,9.005,0.067209,0.051923,0.079122,1
gpu-server,mobilenet-v2-100,6,1410MHz,dvfs6,server,548.4,0.5,274.2,10,274.595,271.02,275.3,23.195,23.78,102.7,123.33,20.64,0.075165,0.071877,0.078509,1
gpu-server,mobilenet-v2-100,6,1410MHz,dvfs6,server,548.4,0.75,411.3,10,413.13,409.4,414.48,22.905,26.69,102.15,134.865,32.76,0.079461,0.075425,0.080928,1
gpu-server,mobilenet-v2-100,6,1410MHz,dvfs6,server,548.4,1.0,548.4,10,548.7,544.93,554.13,85.615,207.42,102.95,145.965,42.925,0.078302,0.075128,0.080521,1
gpu-server,mobilenet-v2-100,7,1545MHz,dvfs7,server,547.7,0.25,136.93,10,136.585,134.08,139.5,20.605,21.03,105.725,115.835,9.91,0.072507,0.068809,0.080143,1
gpu-server,mobilenet-v2-100,7,1545MHz,dvfs7,server,547.7,0.5,273.85,10,273.635,268.67,276.45,22.22,23.15,105.35,128.505,23.125,0.084213,0.079503,0.089803,1
gpu-server,mobilenet-v2-100,7,1545MHz,dvfs7,server,547.7,0.75,410.78,10,410.405,406.7,412.18,22.715,23.46,105.975,141.385,35.31,0.086154,0.084599,0.089267,1
gpu-server,mobilenet-v2-100,7,1545MHz,dvfs7,server,547.7,1.0,547.7,10,548.675,540.75,552.92,34.295,187.8,106.55,153.595,46.88,0.085797,0.083754,0.087482,1
gpu-server,mobilenet-v2-100,8,1710MHz,dvfs8,server,534.4,0.25,133.6,10,132.175,130.65,133.48,20.44,21.71,110.8,122.375,11.795,0.088666,0.083871,0.101015,1
gpu-server,mobilenet-v2-100,8,1710MHz,dvfs8,server,534.4,0.5,267.2,10,266.855,265.62,269.72,22.565,23.47,112.3,138.305,26.005,0.097631,0.092652,0.100944,1
gpu-server,mobilenet-v2-100,8,1710MHz,dvfs8,server,534.4,0.75,400.8,10,401.475,395.5,405.43,23.0,24.23,114.0,154.895,40.83,0.102288,0.097899,0.10418,1
gpu-server,mobilenet-v2-100,8,1710MHz,dvfs8,server,534.4,1.0,534.4,10,535.225,529.97,539.88,37.255,128.5,114.325,168.97,54.69,0.102023,0.100745,0.104364,1
gpu-server,mobilenet-v2-100,9,1800MHz,dvfs9,server,548.4,0.25,137.1,10,137.0,134.62,138.08,20.43,21.91,117.2,130.35,13.275,0.097074,0.088741,0.101162,1
gpu-server,mobilenet-v2-100,9,1800MHz,dvfs9,server,548.4,0.5,274.2,10,273.2,269.8,276.08,22.35,23.05,116.95,145.66,28.785,0.105629,0.103076,0.109234,1
gpu-server,mobilenet-v2-100,9,1800MHz,dvfs9,server,548.4,0.75,411.3,10,410.36,406.83,414.83,22.07,23.7,117.9,162.24,44.44,0.108152,0.106337,0.110415,1
